ItemCode;ItemProviderCode;Description;CreationDate;IsActive;FILTRO PER TIPO;COLLAUDO         MESE     ANNO;;REVISIONE MESE   ANNO;;Intervento Richiesto;Provenienza;Destinazione;prog. Scheda;StateId;DataUltima Movimentazione;OperatoreUltimoMovimento;NOTE O PROBLEMI
742;;EP6CE;;;6;7;17;10;20;;ENEA 23;STUCCHI 8;;USO;16/11/2020;RI;
743;AIR;EP6CE;;;6;12;17;4;21;;;ALLIEVO 93/97;;USO;10/05/2021;RI;
744;GIBI;EP6CE;;;6;9;18;9;18;;PROVENZALE 72;C.D.L.T. PRIMAVALLE;;USO;28/11/2018;G;REV + COLL CSQ 1/19:Depressurizzato alla consegna
745;AIR;EP6CE;;;6;5;17;9;20;;LEON PANCALDO 62;QUERINI 9;;USO;02/10/2020;RI;
746;GIBI;EP6CE;;;6;9;18;9;18;;STUCCHI 8;CASELLI 39;;USO;30/10/2018;;
747;AIR;EP6CE;;;6;;;6;13;;FORTE TRIONFALE 38;IN ROMA;;USO;25/11/2018;;
748;AIR;EP6CE;;;6;11;20;11;20;;VIGNA PIA 121;ISONZO 118-120;;USO;18/12/2020;RI;
749;AIR;EP6CE;;;6;11;20;11;20;;VIGNA PIA 121;VIGEVANO 11;;USO;16/12/2020;RI;
750;MOLAIONI;EP6CE;;;6;9;17;4;21;;VALLE BORBERA 24;APPIA NUOVA 503;;USO;18/05/2021;RI;
751;MOLAIONI;EP6CE;;;6;4;19;6;20;;FLORA 19;;;Z-ROTTAMATO;17/07/2023;G;
752;;EP6CE;;;6;9;17;9;21;;RISERVE;ARCA 42;;USO;12/07/2022;RI;REV CSQ 11/20: Depressurizzato dopo 7 mesi
753;MOLAIONI;EP6CE;;;6;9;17;10;20;;GOZZADINI 72;TITO LIVIO 135;;USO;06/11/2020;RI;REV CSQ 9/18: Depressurizzato dopo 6 mesi
754;AIR;EP6CE;;;6;5;19;5;19;;ISONZO 118-120;TUOZZI 35;;USO;03/06/2019;;
755;;EP6CE;;;6;5;18;6;21;;SARTORIO 26;GRAMSCI 81;;USO;08/07/2021;RI;
756;AIR;EP6CE;;;6;9;17;10;20;;ORSA MAGGIORE 111;MAURI 28;;USO;10/11/2020;GIO;
757;AIR;EP6CE;;;6;5;18;6;21;;ALLIEVO 93/97;GRAMSCI 81;;USO;08/07/2021;RI;
758;AIR;EP6CE;;;6;6;21;6;21;;VIGNA STELLUTI 157;GRAMSCI 81;;USO;08/07/2021;RI;
759;AIR;EP6CE;;;6;2;18;6;21;;GOZZADINI 74;GRAMSCI 81;;USO;08/07/2021;RI;
760;AIR;EP6CE;;;6;6;16;6;21;;PIANETA URANO 3;GRAMSCI 81;;USO;08/07/2021;RI;
761;AIR;EP6CE;;;6;3;22;3;22;;REMIGIO PETRINOTTI (Cognato);CORAZZIERI 62 - SOMMOZZATORI 45/47;;USO;11/04/2022;RI;
762;AIR;EP6CE;;;6;1;19;2;22;;TRASTEVERE 166/172;PELLATI 60;;USO;07/03/2022;RI;
763;AIR;EP6CE;;;6;9;22;9;22;;;VIGNA PIA 32;;USO;13/10/2022;S;
764;;EP6CE;;;6;7;22;7;22;;UNIA 4;MOTOR MIND;;USO;20/09/2022;S;
765;MOLAIONI;EP6CE;;;6;5;22;6;22;;TUOZZI 35;FRAINE 85;;USO;29/07/2022;RI;REV + COLL CSQ 5/22: Depressurizzato alla consegna
766;CSQ;EP6CE;;;6;5;22;5;22;;CORAZZIERI 62 - SOMMOZZATORI 45/47;NUOVA ABRUZZO PAL B;;USO;24/05/2022;RI;
767;CSQ;EP6CE;;;6;5;22;5;22;;CORAZZIERI 62 - SOMMOZZATORI 45/47;NUOVA ABRUZZO PAL B;;USO;24/05/2022;RI;
768;CSQ;EP6CE;;;6;5;22;5;22;;CORAZZIERI 62 - SOMMOZZATORI 45/47;NUOVA ABRUZZO PAL B;;USO;24/05/2022;RI;
769;;EP6CE;;;6;7;22;7;22;;UNIA 4;GOZZADINI 74;;USO;28/09/2022;S;
770;;EP6CE;;;6;1;18;1;18;;;TRASTEVERE 166/172;;USO;23/01/2018;G;
771;;EP6CE;;;6;11;17;11;20;;RISERVA;DELEDDA 34;;USO;12/01/2021;RI;
772;;EP6CE;;;6;;;;;;RISERVE;REMIGIO PETRINOTTO (Cognato);;USO;11/02/2022;G;
773;;EP6CE;;;6;6;21;9;21;;RISERVE;;;USO;27/09/2021;GIO;REV + COLL CSQ 7/21: Depressurizzato alla consegna
774;AIR;EP6CE;;;6;5;19;6;22;;MOTOR MIND;BORGO SAN ROCCO 33;;USO;01/07/2022;RI;
775;;EP6CE;;;6;7;19;7;19;;RISERVA;VITTORINI 82;;USO;10/07/2019;;
776;GIBI;EP6CE;;;6;5;19;6;22;;MONTPELLIER 25;CAMPO BRUNO 46 SCALA C;;USO;01/07/2022;RI;
777;AIR;EP6CE;;;6;6;17;7;22;;TUOZZI 35;GIANNETTO VALLI 9;;USO;05/09/2022;S;
778;;EP6CE;;;6;5;19;6;22;;TUOZZI 35;CAMPO BRUNO 46 SCALA B;;USO;01/07/2022;RI;
779;SIRE;EP6CE;;;6;5;19;6;22;;TUOZZI 35;CAMPO BRUNO 46 SCALA A;;USO;01/07/2022;RI;REV CSQ 9/18: Depressurizzato alla consegna
780;CSQ;EP6CE;;;6;9;22;9;22;;CREMONA 71;VIGNA PIA 32;;USO;13/10/2022;S;
781;TITAN;EP6CE;;;6;9;19;10;22;;MONTANELLI 15;MARLIANO 4;;USO;16/11/2022;S;
782;;EP6CE;;;6;6;21;6;21;;VIGNA STELLUTI 157;GRAMSCI 81;;USO;08/07/2021;RI;
783;GIBI;EP6CE;;;6;7;17;9;20;;VENEZIA GIULIA 24;VIGNA PIA 121;;USO;30/09/2020;RI;
784;AIR;EP6CE;;;6;2;18;6;21;;CONCA D'ORO 221;GRAMSCI 81;;USO;08/07/2021;RI;
785;AIR;EP6CE;;;6;6;17;9;20;;MINGAZZINI 5;VIGNA PIA 121;;USO;30/09/2020;RI;
786;AIR;EP6CE;;;6;5;22;5;22;;PADOVA 1;TUOZZI 35;;USO;24/05/2022;RI;
787;;EP6CE;;;6;11;17;11;20;;STUCCHI 8;MONTE ZEBIO 37;;USO;14/12/2020;RI;
788;;EP6CE;;;6;9;22;9;22;;;ACCUMULI 51;;USO;19/10/2022;S;
789;AIR;EP6CE;;;6;5;22;5;22;;CORAZZIERI 62 - SOMMOZZATORI 45/47;GIANNETTO VALLI 95;;USO;01/06/2022;RI;
790;CSQ;EP6CE;;;6;6;21;6;21;;RISERVA;GRAMSCI 81;;USO;08/07/2021;RI;
791;AIR;EP6CE;;;6;9;17;12;20;;TRASTEVERE 166/172;UNIA 4;;USO;27/06/2022;RI;
792;AIR;EP6CE;;;6;11;20;11;20;;ACCUMOLI 51;BORTOLOTTI 10;;USO;09/12/2020;RI;
793;AIR;EP6CE;;;6;11;17;11;20;;PAOLO RENZI 165;MONTE ZEBIO 37;;USO;14/12/2020;RI;
794;AIR;EP6CE;;;6;2;18;6;21;;RISERVE;CELLAMARE 6;;USO;28/02/2022;GIO;
795;AIR;EP6CE;;;6;11;17;11;20;;STUCCHI 8;MONTE ZEBIO 37;;USO;14/12/2020;RI;
796;AIR;EP6CE;;;6;9;18;9 ;21;;RISERVE;MUSCETTA 132-140;;USO;08/10/2021;RI;
797;CSQ;EP6CE;;;6;7;22;7;22;;MENDOLA 119;MOTOR MIND;;uSO;20/09/2022;S;REV CSQ 6/22: Depressurizzato alla consegna
798;GIBI;EP6CE;;;6;6;19;6;22;;MONTPELLIER 25;CONDOMINIO DUE SAN GIOVANNI 139;;USO;12/07/2022;RI;
799;AIR;EP6CE;;;6;7;19;9;22;;CREMONA 71;MUSCETTA 132-140;;USO;26/10/2022;S;
800;;EP6CE;;;6;9;22;9;22;;MUSCETTA 132-140;TITO LIVIO 135;;USO;17/05/2023;S;"P+V COM 5/23
COLL+REV CSQ 9/22: depressurizzato doo 6 mesi"
801;AIR;EP6CE;;;6;2;19;5;22;;PELLATI 60;TUOZZI 35;;USO;24/05/2022;RI;REV CSQ 3/22: Depressurizzato alla consegna
802;LE.LO.;EP6CE;;;6;2;19;3;22;;PELLATI 60;CORAZZIERI 62 - SOMMOZZATORI 45/47;;USO;11/04/2022;RI;
803;LE.LO.;EP6CE;;;6;2;19;3;22;;PELLATI 60;CORAZZIERI 62 - SOMMOZZATORI 45/47;;USO;11/04/2022;RI;
804;LE.LO.;EP6CE;;;6;2;19;3;22;;PELLATI 60;MAZZONI 10 - BOCCEA 413;;USO;06/05/2022;RI;
805;LE.LO.;EP6CE;;;6;2;19;3;22;;PELLATI 60;MUSCETTA 132-140;;USO;21/04/2022;RI;
806;LE.LO.;EP6CE;;;6;5;22;5;22;;PELLATI 60;TUOZZI 35;;USO;24/05/2022;RI;
807;LE.LO.;EP6CE;;;6;11;19;9;20;;VILLA ALESSANDRA;GOZZADINI 72;;USO;21/09/2020;RI;REV + COLL CSQ 11/19: Depressurizzato dopo 9 mesi.
808;UNIV;EP6CE;;;6;11;20;11;20;;VIGNA PIA 121;MONTE ZEBIO 37;;USO;14/12/2020;RI;
809;;EP6CE;;;6;9;17;10;20;;QUERINI 9;PAOLO RENZI 165;;USO;05/11/2020;RI;
810;;EP6CE;;;6;9;18;9 ;21;;COLAJANNI 19;MUSCETTA 38 A-B;;USO;08/10/2021;RI;
811;SIRE;EP6CE;;;6;9;18;12;21;;UDINE 5 SC/A;TRASTEVERE 166/172;;USO;20/01/2022;RI;
812;GIBI;EP6CE;;;6;9;18;12;21;;UDINE 5 SC/A;CONDOMINIO DUE SAN GIOVANNI 139;;USO;19/01/2022;RI;
813;SIRE;EP6CE;;;6;9;115;12;21;;UDINE 5 SC/A;FRAINE 85;;USO;19/01/2022;RI;
814;SIRE;EP6CE;;;6;5;18;9;21;;RUSPOLI 64;NICOLAI 73;;USO;15/09/2021;RI;
815;SIRE;EP6CE;;;6;6;18;6;18;;PINTO 22;RUSPOLI 64;;USO;18/06/2018;;
816;AIR;EP6CE;;;6;9;21;9;21;;;COLAJANNI 19;;USO;15/09/2021;RI;
817;STAR;EP6CE;;;6;11;20;11;20;;VIGNA PIA 121;BORTOLOTTI 10;;USO;09/12/2020;RI;
818;;EP6CE;;;6;2;18;6;21;;VIGNA PIA 32;DE ROSSI 30/34;;USO;12/07/2021;RI;
819;;EP6CE;;;6;2;19;7;22;;STUDIO GODENZI;PALLAVICINI 10;;USO;30/09/2022;S;
820;MOLAIONI;EP6CE;;;6;12;22;12;22;;VILLA ALESSANDRA;PORTUENSE 513;;USO;09/12/2022;S;
821;SIRE;EP6CE;;;6;11;19;12;22;;VILLA ALESSANDRA;BOEZIO 5-7 - VIRGILIO 3;;USO;09/12/2022;S;
822;SIRE;EP6CE;;;6;11;19;12;22;;VILLA ALESSANDRA;COOP VASCARELLE;;USO;27/12/2022;S;
823;SIRE;EP6CE;;;6;11;19;11;19;;TUOZZI 35;MARLIANO 4;;USO;18/11/2019;GIO;
824;;EP6CE;;;6;11;20;11;20;;MARLIANO 4;MONTE ZEBIO 37;;USO;17/12/2020;RI;REV + COLL CSQ 11/19: Depressurizzato dopo 12 mesi
825;;EP6CE;;;6;1;20;6;21;;SERLUPI 13;TRASTEVERE 166/172;;USO;20/07/2021;RI;
826;STAR;EP6CE;;;6;9;20;9;20;;TRASTEVERE 166/172;GOZZADINI 74;;USO;21/09/2020;RI;
827;;EP6CE;;;6;11;20;11;20;;STUCCHI 8;GARIBALDI 55A;;USO;09/12/2020;RI;
828;MOLAIONI;EP6CE;;;6;9;16;11;19;;MAURI 28;IN ROMA;;USO;14/11/2019;;
829;UNIVERSO;EP6CE;;;6;9;20;9;20;;TRASTEVERE 166/172;QUERINI 9;;USO;02/10/2020;RI;
830;UNIVERSO;EP6CE;;;6;11;20;11;20;;CERAUDO ALESSANDRO;GARIBALDI 55A;;USO;09/12/2020;RI;
831;UNIVERSO;EP6CE;;;6;2;18;6;21;;SANTE VANDI 99;BALESTRA 10;;USO;15/06/2021;RI;
832;;EP6CE;;;6;5;18;6;21;;RISERVE;STUCCHI 8;;USO;24/11/2021;GIO;
833;;EP6CE;;;6;12;20;12;20;;BORTOLOTTI 10;SERLUPI 13;;USO;07/11/2021;RI;
834;GIBI;EP6CE;;;6;1;19;2;22;;TRASTEVERE 166/172;PELLATI 60;;USO;07/03/2022;RI;
835;AIR;EP6CE;;;6;;;3;21;;BORTOLOTTI 10;CONCA D'ORO 221;;USO;13/04/2021;RI;
836;;EP6CE;;;6;1;19;2;22;;FRAINE 85;PELLATI 60;;USO;07/03/2022;RI;
837;GIBI;EP6CE;;;6;1;19;2;22;;FRAINE 85;PELLATI 60;;USO;07/03/2022;RI;
838;GIBI;EP6CE;;;6;10;18;11;21;;ASSEGNATI NOV;BALESTRA 10;;USO;03/12/2021;GIO;
839;GIBI;EP6CE;;;6;1;19;2;22;;FRAINE 85;PELLATI 60;;USO;07/03/2022;RI;
840;RACK;EP6CE;;;6;5;18;6;21;;STUCCHI 8;TREVISO 27;;USO;28/06/2021;RI;
841;RACK;EP6CE;;;6;1;19;1;19;;FRAINE 85;FRAINE 85;;USO;30/01/2019;;
842;GIBI;EP6CE;;;6;1;19;2;22;;FRAINE 85;PELLATI 60;;USO;07/03/2022;RI;
843;GIBI;EP6CE;;;6;11;20;11;20;;SANZENO 20;IL CEDRO;;USO;14/12/2020;RI;
844;GIBI;EP6CE;;;6;11;20;11;20;;STUCCHI 8;PORRO 1 BIS;;USO;14/12/2020;RI;
845;GIBI;EP6CE;;;6;11;20;11;20;;RISERVA;DELEDDA 34;;USO;12/01/2021;RI;
846;GIBI;EP6CE;;;6;6;21;6;21;;RISERVE;;;USO;12/07/2022;RI;
847;CSQ;EP6CE;;;6;3;20;10;20;;RISERVA;SANT ANNA LIVITELLO;;USO;11/11/2020;RI;REV + COLL CSQ 3/20: Depressurizzato dopo 6 mesi
848;;EP6CE;;;6;9;22;9;22;;;VIGNA PIA 32;;USO;13/10/2022;S;
849;GIBI;EP6CE;;;6;6;22;6;22;;TIBERINA 74-76;CONDOMINIO DUE SAN GIOVANNI 139;;USO;12/07/2022;RI;
850;GIBI;EP6CE;;;6;7;18;7;18;;GOZZADINI 72;IN ROMA;;USO;28/11/2018;;
851;AIR;EP6CE;;;6;7;19;7;22;;TEHERAN 15;ORSA MAGGIORE 111;;USO;31/08/2022;S;
852;RACK;EP6CE;;;6;4;21;4;21;;STUCCHI 8;STUCCHI 8;;USO;14/05/2021;RI;
853;RACK;EP6CE;;;6;4;21;4;21;;STUCCHI 8;26 SETTEMBRE 1963;;USO;04/05/2021;RI;
854;AIR;EP6CE;;;6;7;18;9 ;21;;NICOLAI 73;MUSCETTA 38 A-B;;USO;08/10/2021;RI;
855;RACK;EP6CE;;;6;4;21;4;21;;STUCCHI 8;SANTE VANDI 99;;USO;18/05/2021;RI;
856;AIR;EP6CE;;;6;6;21;6;21;;CDTL LABARO;TRASTEVERE 166/172;;USO;20/07/2021;RI;
857;AIR;EP6CE;;;6;5;18;6;21;;APPIA NUOVA 503;ALTAVILLA IRPINA 7;;USO;12/07/2021;RI;
858;GIBI;EP6CE;;;6;7;18;9 ;21;;NICOLAI 73;MUSCETTA 38 A-B;;USO;08/10/2021;RI;
859;GIBI;EP6CE;;;6;1;18;1;18;;PORRO 1 BIS;FIERAMOSCA;;USO;29/01/2018;;
860;GIBI;EP6CE;;;6;7;18;9;21;;DE ROSSI 30/34;JOYCE 44;;USO;07/09/2021;RI;
861;AIR;EP6CE;;;6;7;18;9 ;21;;NICOLAI 73;MUSCETTA 38 A-B;;USO;08/10/2021;RI;
862;;EP6CE;;;6;9;18;12;21;;NARDUCCI 32-34;FRAINE 85;;USO;19/01/2022;RI;
863;;EP6CE;;;6;6;21;6;21;;GARIBALDI 55A;DE ROSSI 30/34;;USO;12/07/2021;RI;
864;;EP6CE;;;6;9;18;12;21;;MUSCETTA 132 - 140;FRAINE 85;;USO;19/01/2022;RI;
865;GIBI;EP6CE;;;6;5;22;5;22;;PADOVA 1;SANTE VANDI 99;;USO;24/05/2022;RI;
866;;EP6CE;;;6;9;20;9;20;;IL CEDRO;CERAUDO GERARDO;;USO;22/09/2020;RI;
867;;EP6CE;;;6;9;20;9;20;;IL CEDRO;CERAUDO ALESSANDRO;;USO;22/09/2020;RI;
868;GIBI;EP6CE;;;6;6;21;9;21;;RISERVE;VERGARI PNEUMATICI;;USO;21/09/2021;RI;
869;M.B;EP6CE;;;6;9;21;9;21;;IL CEDRO;NICOLAI 73;;USO;15/09/2021;RI;
870;;EP6CE;;;6;9;20;9;20;;IL CEDRO;CERAUDO ALESSANDRO;;USO;22/09/2020;RI;
871;GIBI;EP6CE;;;6;1;18;1;18;;STUCCHI 8;FIERAMOSCA;;USO;29/01/2018;;
872;;EP6CE;;;6;9;18;12;21;;NARDUCCI 32-34;CONDOMINIO DUE SAN GIOVANNI 139;;USO;19/01/2022;RI;
873;GIBI;EP6CE;;;6;9;20;9;20;;IL CEDRO;ACCUMOLI 51;;USO;05/10/2020;RI;
874;AIR;EP6CE;;;6;9;18;12;21;;NARDUCCI 32-34;MASSAI 3;;USO;24/01/2022;RI;
875;;EP6CE;;;6;1;20;2;23;;MARVELLI 6 ED.1;TROIANI 28;;USO;09/03/2023;S;
876;CSQ;EP6CE;;;6;9;20;9;20;;CAPESTRANO 1;SANZENO 20;;USO;05/10/2020;RI;
877;;EP6CE;;;6;9;18;9 ;21;;COLAJANNI 19;MUSCETTA 38 A-B;;USO;08/10/2021;RI;
878;;EP6CE;;;6;4;19;5;22;;MUSCETTA 132 139;GIANNETTO VALLI 95;;USO;01/06/2022;RI;
879;;EP6CE;;;6;1;18;1;18;;STUCCHI 8;FIERAMOSCA;;USO;29/01/2018;;REV CSQ 3/14: Depressurizzato dopo 12 mesi.
880;;EP6CE;;;6;1;18;1;18;;C.D.T.L. LABARO;FIERAMOSCA;;USO;29/01/2018;RI;
881;AIR;EP6CE;;;6;10;20;10;20;;CAPESTRANO 1;C.D.L.T LABARO;;USO;13/11/2020;RI;
882;AIR;EP6CE;;;6;11;19;12;22;;VILLA ALESSANDRA;GARAGE PRATI FISCALI 199A;;USO;25/01/2023;S;VALV COM 1\23
883;AIR;EP6CE;;;6;10;20;10;20;;CAPESTRANO 1;C.D.L.T LABARO;;USO;13/11/2020;RI;
884;AIR;EP6CE;;;6;12;17;4;21;;AMMIRAGLI 119 - 121;ELIOGRAFICA;;USO;05/05/2021;RI;
885;MOLAIONI;EP6CE;;;6;6;19;6;22;;BONDI 41;FAVRETTO 5;;USO;04/07/2022;RI;
886;AIR;EP6CE;;;6;5;20;5;23;;PENTIMALLI 43;STUCCHI 8;;USO;23/05/2023;S;R+V COM 5/23
887;AIR;EP6CE;;;6;9;19;10;22;;VIGNA PIA 32;VILLA ALESSANDRA;;USO;17/11/2022;S;
888;AIR;EP6CE;;;6;6;19;1;23;R;RISERVA;EFESO 35-43;;USO;10/02/2023;S;REV + COLL CSQ 6/19: Depressurizzato dopo 16 mesi. REV CSQ 10/20: Depressurizzato dopo 24 mesi
889;;EP6CE;;;6;7;20;5;23;;VIGNA PIA 32;STUCCHI 8;;USO;23/05/2023;S;"R+V COM 5/23
REV + COLL CSQ 7/20: Depressurizzato dopo 6 mesi."
890;;EP6CE;;;6;4;23;4;23;;GUICCIOLI 5;SANZENO 20;;USO;18/04/2023;S;VALV COM 4/23
891;AIR;EP6CE;;;6;12;21;12;21;;BALESTRA 10;EFESO 35-43;;USO;04/01/2022;RI;
892;AIR;EP6CE;;;6;6;19;6;22;;MONTPELLIER 25;MASSAI 3;;USO;18/07/2022;RI;
893;;EP6CE;;;6;4;23;4;23;;GUICCIOLI 9;MUSCETTA 38 A-B;;USO;17/04/2023;S;VALV COM 4/23
894;GIBI;EP6CE;;;6;7;19;7;22;;TEHERAN 15;GOZZADINI 74;;USO;28/09/2022;S;
895;;EP6CE;;;6;4;23;4;23;;GUICCIOLI 5;MUSCETTA 38 A-B;;USO;17/04/2023;S;VALV COM 4/23
896;;EP6CE;;;6;5;23;5;23;;GUICCIOLI 9;STUCCHI 8;;USO;23/05/2023;S;C+R COM 5/23
897;;EP6CE;;;6;9;22;9;22;;;VILLA PAMPHILI 59;;USO;27/10/2022;S;
898;AIR;EP6CE;;;6;5;20;5;23;;PENTIMALLI 43 ;GALLO 37;;USO;18/05/2023;S;R+V COM 5/23
899;AIR;EP6CE;;;6;9;21;9;21;;IL CEDRO;NICOLAI 73;;USO;15/09/2021;RI;
900;;EP6CE;;;6;5;23;5;23;;SAVASTANO 18;STUCCHI 8;;USO;23/05/2023;S;C+R COM 5/23
901;AIR;EP6CE;;;6;11;19;12;22;;VILLA ALESSANDRA;GARAGE PRATI FISCALI 199A;;USO;25/01/2023;S;VALV COM 1\23
902;AIR;EP6CE;;;6;9;21;9;21;;VIGNA PIA 121;NICOLAI 73;;USO;15/09/2021;RI;
903;CSQ;EP6CE;;;6;9;18;9 ;21;;COLAJANNI 19;MUSCETTA 38 A-B;;USO;08/10/2021;RI;
904;AIR;EP6CE;;;6;9;21;9;21;;IL CEDRO;COLAJANNI 19;;USO;15/09/2021;RI;
905;RACK;EP6CE;;;6;7;19;7;22;;TEHERAN 15;GOZZADINI 72;;USO;28/09/2022;S;
906;AIR;EP6CE;;;6;9;21;9;21;;TREVISO 27;COLAJANNI 19;;USO;15/09/2021;RI;REV PIM 1/17: Depressurizzato dopo 28 mesi.
907;CSQ;EP6CE;;;6;9;21;9;21;;VIGNA STELLUTI 157;COLAJANNI 19;;USO;15/09/2021;RI;
908;CSQ;EP6CE;;;6;9;21;9;21;;CAPESTRANO 1;COLAJANNI 19;;USO;15/09/2021;RI;
909;;EP6CE;;;6;2;23;2;23;;SAVASTANO 18;VIGNA PIA 121;;USO;07/04/2023;S;COL + REV COM M 1 - 2/23: Depressurizzato alla consegna -Pressurizzati a MAR 23 - VALV COM 2/23
910;;EP6CE;;;6;7;19;7;22;;TEHERAN 15;GOZZADINI 72;;USO;28/09/2022;S;REV + COLL CSQ 4/19: Depressurizzato dopo un anno e due mesi
911;LELO;EP6CE;;;6;12;21;12;21;;MUSCETTA 38 A-B;MASSAI 3;;USO;24/01/2022;GIO;"REV CSQ 7/14: Depressurizzato dopo 8 mesi
REV CSQ 2/18: Depressurizzato dopo 2 anni e 3 mesi"
912;;EP6CE;;;6;7;19;7;22;;TEHERAN 15;CAIO MARIO 13;;USO;09/09/2022;RI;"REV CSQ 2/18: Depressurizzato dopo 1 mese
REV CSA 4/18: Depressurizzato dopo 1 anno e 4 mesi."
913;STAR;EP6CE;;;6;5;20;5;23;;SANZENO 20;VILLA SEVERINI 56 - VALDAGNO 6;;USO;22/05/2023;S;R+V COM 5/23
914;;EP6CE;;;6;5;23;5;23;;TROIANI 28;STUCCHI 8;;USO;23/05/2023;S;C+R COM 5/23
915;;EP6CE;;;6;5;23;5;23;;TROIANI 28;VAL PADANA 43;;USO;24/05/2023;S;C+R COM 5/23
916;;EP6CE;;;6;5;23;5;23;;TROIANI 28;CAPESTRANO 31 SCALA B;;USO;31/05/2023;S;C+R COM 5/23
917;GIBI;EP6CE;;;6;10;14;6;22;;GIANNETTO VALLI 95 PALAZZINA B;CONDOMINIO DUE SAN GIOVANNI 139;;USO;12/07/2022;RI;
918;;EP6CE;;;6;2;23;2;23;;SAVASTANO 18;PADOVA 1;;USO;11/05/2023;S;"P COM 5/23
P+V COM 2/23 e depressurizzato dopo pochi giorni
C+R COM 2/23: Depressurizzato alla consegna"
919;AIR;EP6CE;;;6;9;21;9;21;;BALESTRA 10;UDINE 5 SC/A;;USO;16/09/2021;RI;
920;;EP6CE;;;6;2;23;2;23;;SAVASTANO 18;GUICCIOLI 5;;USO;10/03/2023;S;
921;;EP6CE;;;6;3;23;3;23;C+R;SAVASTANO 18;GUICCIOLI 9;;USO;13/03/2023;G;VALV COM 3/23
922;EMME;EP6CE;;;6;10;14;6;22;;GIANNETTO VALLI 95 PALAZZINA B;CONDOMINIO DUE SAN GIOVANNI 139;;USO;12/07/2022;RI;
923;AIR;EP6CE;;;6;10;14;6;22;;RISERVE;TITO LIVIO 135;;USO;23/11/2022;S;REV CSQ 6/22: Depressurizzato dopo 3 mesi
924;AIR;EP6CE;;;6;10;14;6;22;;GIANNETTO VALLI 95 PALAZZINA B;VALSESIA 47;;USO;19/07/2022;RI;
925;AIR;EP6CE;;;6;10;14;6;22;;GIANNETTO VALLI 95 PALAZZINA B;VALSESIA 47;;USO;19/07/2022;RI;
926;AIR;EP6CE;;;6;7;19;7;22;;TEHERAN 15;MONTANELLI 15;;USO;29/09/2022;S;"REV CSQ 12/16: Depressurizzato dopo 12 mesi
REV CSQ 1/18: Depressurizzato dopo 18 mesi"
927;CSQ;EP6CE;;;6;7;19;7;19;;MASSAI 3;VALMELAINA 75\D;;USO;22/07/2019;G;
928;;EP6CE;;;6;7;19;7;19;;MASSAI 3;VALMELAINA 75\D;;USO;22/07/2019;RI;
929;;EP6CE;;;6;3;23;3;23;C+R;PROVINCIE 6;GUICCIOLI 9;;USO;13/03/2023;G;VALV COM 3/23
930;AIR;EP6CE;;;6;6;21;6;21;;;VAL PADANA 118/126;;USO;25/06/2021;RI;
931;AIR;EP6CE;;;6;7;19;9;22;;VAL D'AOSTA 104;CONCA D'ORO 221;;USO;25/10/2022;S;
932;AIR;EP6CE;;;6;9;19;1;23;;CONCA D'ORO 221;BLOCCO GARAGE;;USO;15/02/2023;S;
933;SICUR;EP6CE;;;6;5;19;6;22;;MONTPELLIER 25;VAL D'AOSTA 104;;USO;19/07/2022;RI;
934;AIR;EP6CE;;;6;9;19;1;23;;PAISELLO 27;BLOCCO GARAGE;;USO;15/02/2023;S;
935;AIR;EP6CE;;;6;11;19;1;23;;VILLA ALESSANDRA;BLOCCO GARAGE;;USO;15/02/2023;S;
936;MOLAIONI;EP6CE;;;6;10;18;12;21;;MUSCETTA 38 A-B;TRASTEVERE 166/172;;USO;20/01/2022;RI;
937;SOPRAN;EP6CE;;;6;11;21;11;21;;MUSCETTA 38 A-B;MASSINI 80;;USO;17/12/2021;RI;
938;;EP6CE;;;6;11;21;11;21;;MUSCETTA 38 A-B;ALBANO 80;;USO;17/12/2021;RI;
939;REPA;EP6CE;;;6;7;19;12;22;;VAL D'AOSTA 104;VIGNA STELLUTI 157;;USO;03/01/2023;G;VALV COM 1\23
940;UNIV;EP6CE;;;6;11;19;1;23;;VILLA ALESSANDRA;BLOCCO GARAGE;;USO;15/02/2023;S;
941;;EP6CE;;;6;11;19;12;22;;VILLA ALESSANDRA;VIGNA STELLUTI 157;;USO;03/01/2023;G;VALV COM 1\23
942;;EP6CE;;;6;11;18;12;21;;SANTE VANDI 99;TRASTEVERE 166/172;;USO;20/01/2022;RI;
943;CSQ;EP6CE;;;6;11;19;12;22;;VILLA ALESSANDRA;MERVELLI 6 - EDIFICIO 1;;USO;25/01/2023;S;"REV GUPA 11/17: Depressurizzato dopo 6 mesi
REV CSQ 6/18: Depressurizzato dopo 12 mesi
VALV COM 1\23"
944;;EP6CE;;;6;10;18;11;21;;MUSCETTA 38 A-B;MASSINI 80;;USO;16/12/2021;RI;
945;MOLAIONI;EP6CE;;;6;5;19;6;22;;NUOVA ABRUZZO PAL B;VAL D'AOSTA 104;;USO;19/07/2022;RI;
946;MOLAIONI;EP6CE;;;6;12;20;12;20;;CERAUDO ALESSANDRO;ANTONIO DEGLI EFFETTI 70;;USO;19/01/2021;GIO;
947;;EP6CE;;;6;;;9;15;;MENGOTTI 39;IN ROMA;;USO;25/11/2018;GIO;
948;UNIVERSO;EP6CE;;;6;10;18;10;18;;MENGOTTI 44;MUSCETTA 38 A-B;;USO;19/10/2018;G;
