ItemCode;ItemProviderCode;Description;CreationDate;IsActive;FILTRO PER TIPO;COLLAUDO         MESE     ANNO;;REVISIONE MESE   ANNO;;Intervento Richiesto;Provenienza;Destinazione;prog. Scheda;StateId;DataUltima Movimentazione;OperatoreUltimoMovimento;NOTE O PROBLEMI
44;CSQ;CO2 Kg2;;;2;;;;;3;EMME MAR 23;Magazzino;;DISPO;27/06/2023;A;EMME Codice 23020-74
45;CSQ;EP6CE;;;2;;;;;0;EMME MAG 23 (40);;;DISPO;21/08/2023;S;"ANAF Codice 32.897E.F555.CC
EMME Codice 21063-510"
46;CSQ;CASSETTE PORTA ESTINTORI METALLICA CON SERRATURA;;;3;;;;;3;CARVEL - MEGLIO ANAF;;;DISPO;23/11/2022;G;
47;CSQ;CASSETTE PORTA ESTINTORI PVC;;;3;;;;;1;EMME GEN 23;Magazzino;;DISPO;23/06/2023;G;"EMME CODICE 1668
Catalogo ABS codice 26324"
48;CSQ;LASTRA SAFE CRASH 42,2 X 57,0;;;3;;;;;5;CSQ;;;DISPO;19/12/2022;G;
49;;PORTA REI MEZZELUNE SPESSORE;;;4;;;;;10; AIR FIRE ;;;DISPO;08/06/2023;GIO;
50;;PORTA REI NINZ Univer - Guaina intumescente;;;4;;;;;50 mt;;;;DISPO;19/12/2022;G;
51;;PORTA REI NOTTOLINO FERMA MOLLA;;;4;;;;;40;;;;DISPO;19/12/2022;G;
52;;PORTE REI MANIGLIE;;;4;;;;;6;;;;DISPO;19/12/2022;G;
53;;PORTE REI MANIGLIONI ANTIPANICO;;;4;;;;;8;;;;DISPO;19/12/2022;G;
54;;PORTE REI Molle spingiporta;;;4;;;;;0;Leroy;;;DISPO;19/12/2022;G;
55;;PORTE REI Molle tipo MAB;;;4;;;;;0;BRICOMAN;;;DISPO;19/12/2022;G;YALE: 300 Series NO.2 - NO.4
56;;PORTE REI Molle Spinotto per cerniera a Molla;;;4;;;;;7;;;;DISPO;19/12/2022;G;
57;;PORTE REI SERRATURA ANTIPANICO;;;4;;;;;2;;;;DISPO;19/12/2022;G;
58;;PORTE REI SERRATURA NO ANTIPANICO;;;4;;;;;2;;;;DISPO;19/12/2022;G;
59;;ATTACK;;;5;;;;;1;Magazzino;;;DISPO;19/12/2022;G;
60;;attack per vetro;;;5;;;;;1;BRICOMAN;;;DISPO;19/12/2022;G;
61;;BATTERIE STILO AAA;;;5;;;;;3;;cassettiera Giampaolo;;DISPO;19/12/2022;G;
62;;cartellini per chiavi;;;5;;;;;300;AMAZON;cassettiera scrivania;;DISPO;19/12/2022;G;
63;;CELOFAN DA IMBALLO;;;5;; BIANCO ;;;1;Leroy ( 12,5 l'uno);Magazzino;;DISPO;19/12/2022;G;
64;;CELOFAN DA IMBALLO;;;5;; NERO ;;;0;BRICOMAN;;;DISPO;19/12/2022;G;
65;;Cemento per fori;;;5;;;;;25 KG;Leroy;;;DISPO;19/12/2022;G;
66;;CERNIERE SPORTELLI IN FERRO;;;5;;;;;0;Leroy ( 12,5 l'uno);Magazzino;;DISPO;19/12/2022;G;
67;;COLLARI HILTI;;;5;;;;;1 MT;;;;DISPO;19/12/2022;G;
68;;CORDA A CRICCHETTO;;;5;;;;;1;leroy;;;DISPO;19/12/2022;G;
69;;Diluente sintentico ;;;5;;;;;0;Leroy;Magazzino;;DISPO;19/12/2022;G;
70;;DISCHI FRULLINO MM 125;;;5;;;;;2;BRICOMAN;;;DISPO;19/12/2022;G;
71;;Dissuasori piccioni;;;5;;;;;0;Leroy;tetto;;DISPO;19/12/2022;G;
72;SIGIL;ELETTRODI DA 1,5 MM PER SALDATRICE ;;;5;;;;;1;;;;DISPO;19/12/2022;G;
73;;FERLTRINI (Pacco assortito);;;5;;;;;1;;;;DISPO;19/12/2022;G;
74;;GUANTI DA LAVORO ELETTRICISTA;;;5;;;;;3;Leroy (NOV 22);;;DISPO;19/12/2022;G;
75;;GUANTI DA LAVORO;;;5;;;;;3;Leroy (NOV 22);;;DISPO;19/12/2022;G;
76;;LUBRIFICANTE SBLOCCANTE WD40;;;5;;;;;1;Leroy;Magazzino;;DISPO;19/12/2022;G;
77;;LUBRIFICANTE SPRAY PORTE REI;;;5;;;;;2;;Magazzino;;DISPO;19/12/2022;G;
78;;LUBRIFICANTE Olio di Vasellina Spray;;;1;;;;;1;Leroy;MAGAZZINO;;DISPO;05/05/2023;G;
79;;LUCCHETTO MEDIO ;;;5;;;;;0;Leroy ( 12,5 l'uno);Magazzino;;DISPO;19/12/2022;G;
80;;Mammut singoli a bicchiere medi;;;5;;;;;5;Leroy;Giardino;;DISPO;19/12/2022;G;
81;;NASTRO ADESIVO PLASTICA;;;5;;;;;4;BRICOMAN;;;DISPO;19/12/2022;G;
82;;NASTRO DA IMBALLO CARTA;;;5;;;;;5;Amazon ( 2,5 l'uno);Magazzino;;DISPO;19/12/2022;G;
83;;NASTRO ISOLANTE;;;5;;;;;8;leroy;;;DISPO;19/12/2022;G;
84;;OLIO MOTORE 15\40;;;5;;;;;7L;COOP (€ 5 litro);Magazzino;;DISPO;19/12/2022;G;
85;;PIANTANA CON BANDIERINA EP6;;;11;;;;;1;Emme 0456;;;DISPO;22/05/2023;S;
86;;SCOPA - MANICO ROBUSTO;;;5;;;;;2;Magazzino;;;DISPO;19/12/2022;G;
87;;SILICONE  PIGAFLEX 160;;;5;;;;;7;Leroy;;;DISPO;19/12/2022;G;
88;;SILICONE  REI ;;;5;;;;;1;HILTI;;;DISPO;19/12/2022;G;
89;;STOP DA 6 MM 1/100;;;5;;;;;0;Leroy ( 12,5 l'uno);Magazzino;;DISPO;19/12/2022;G;
90;;TASSELLI mm 6X40 mm;;;5;;;;;120;leroy  NOV 22 (€ 17,50);;;DISPO;19/12/2022;G;
91;;TASSELLI mm 8X40 mm;;;5;;;;;0;;;;DISPO;19/12/2022;G;
92;;Veleno per topi;;;5;;;;;1,5 KG;AMAZON;Condominio;;DISPO;19/12/2022;G;
